67,,,,,ETHIOPIAN PHARMACEUTICAL SUPPLY SERVICE COMPREHENSIVE PHARMACEUTICAL PROCUREMENT CONTRACT MANAGEMENT FOLLOW UP SHEET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Contract Administration Team,,,,,,,,,,,,Bank and Insurance Team,,,,,Shipment Follow Up and Port Clearance Team,,,,,,,,,Current PG Status,,,Remark
S.N,Recevied date from TMD,Tender reference number,PO No,Supplier,Country of Origin,Local A.,Discription of the product,Unit,Qauntity,Unit Price,Total Price,Total PO Amount,Currency,Budget Source,PG Expiry Date,File Transferred to (BI) Date,BI Officer,LC Opening status,LC Opened Date,LC Expiry Date,Number of Days After LC Opened,Shipment Officer,Shipment Status,Current LC Status,Bill/Shipped date,Supply Status,Port Arrival Date,Date of Clearance to WH,Port Dwell Time,Order Closure,Remaining Days for PG Expiry,Status,Status Date,
,,,,,,,Sertaline HCL - 50mg - Tablet,10x10,"10,619",1.2,"12,742.800",,,,,,,,,,,,,,,,,,,,,,,
659,9/8/2023,ICB/EPSA6/RDF-R/PH/13/22,7556,Novartis Pharma Services AG,Switzerland,NA,Pilocarpine HCL - 4% - Eye Drop,10ml,"53,997",4.88,"263,505.360","263,505.36",USD,RDF,,,Dejene,,,,46226,,,LC Expired,,,,,0,,Please enter PG expiry date,,,
660,9/11/2023,ICB/PFSA6/RDF/FW/Placement/LR/20/18,7322,Roche Diagnostics PVT) LTD,South Africa,"Retina
Pharmaceuticals",Cobas,PC,,,,"779,897.27",USD,RDF,,28/11/2023,Abdulfetah,,,,46226,,,LC Expired,,,,,0,,Please enter PG expiry date,,,
661,4/8/2023,ICB/EPSA6/MOH-GF/OI/NFMIII/PH/04/23,7621,Medicamen Biotech Limited,India,Droga Pharma PVT.LTD.CO,Fluconazole - 100mg - TAblet,10X10,871,2.71,"2,360.410","59,712.46",USD,Global Fund,,,Abdulfetah,,,,46226,,,LC Expired,,,,,0,,Please enter PG expiry date,,,
,,,,,,,Vitamin B6 (pyridoxine HCI) - 100mg - Tablet,100,"127,449",0.45,"57,352.050",,,,,,,,,,,,,,,,,,,,,,,
663,2/8/2023,ICB/EPSA6/MOH-SDG/Spare part /md/21/22,7440,"Guangdong Biolight Meditech Co., Ltd",China,WMG Biomedical Engineering PLC,Spare parts,Each,2,410,"278,650.000","$278,650.00",USD,SDG,,,Mahider,,,,46226,,,LC Expired,,,,,0,,Please enter PG expiry date,,,
793,8/7/2023,ICB/EPSA6/MOH-GF/OI/NFMIII/PH/04/23,7620,Leben Laboratories Pvt.Ltd,India,DAT International Trading plc,Amitriptyline - 25mg - Tablet,10x10,"83,455",0.32,"26,705.600","26,705.60",USD,Global Fund,,,Dejene,,,,46226,,,LC Expired,,,,,0,,Please enter PG expiry date,,,
794,9/8/2023,ICB/EPSA6/RDF-R/PH/13/22,7556,Novartis Pharma Services AG,Switzerland,NA,Pilocarpine HCL - 4% - Eye Drop,10 ml,"53,997",4.88,"263,505.360","263,505.36",USD,RDF,,,Dejene,,,,46226,,,LC Expired,,,,,0,,Please enter PG expiry date,,,
795,10/8/2023,EPSA6/RT2/FW/GF-HAPCO/HIVRTK/LR/01/22,7613,Premier Medical Corporation Pvt.Ltd,India,Biotech Private Limited Company,"HIV Rapid Test Kit - Second Assay, First Response HIV1-2.0 Card (Version 2.0) Test Kit -",30tests,"7,079",22.5,"159,288.500","159,277.50",USD,Global Fund,,,Mulugeta,,,,46226,,,LC Expired,,,,,0,,Please enter PG expiry date,,,
797,10/8/2023,ICB/EPSA6/RDF-R/PH/13/22,7523,SCOTT EDIL PHARMACIA LTD,India,Kare Pharmaceuticals PLC,Clarithromycin - 500mg - Tablet,10x10,"14,598",11.34,"165,541.320","332,511.05",USD,RDF,,,Mahider,,,,46226,,,LC Expired,,,,,0,,Please enter PG expiry date,,,
