,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,COMPREHENSIVE PHARMACEUTICAL PROCUREMENT CONTRACT MANAGEMENT FOLLOW UP SHEET,,,,,,,,,,,Performance Guarantee follow up & Status,,,,,,,,,,,,Bank and Insurance Team,,,,,Shipment Follow Up and Port Clearance Team,,,Remark,
S.N,Recevied date from TMD,Tender reference number,PO No,Supplier,Country of Origin,Local A.,Discription of the product,Unit,Qauntity,Unit Price,Total price,Total PO Amount,Currency,Budget Source,Mode of Shipment,PO Transferred to BIT/LT Date,PG Requested Date,PG received Date,PG Confirmed Date,Bank/Insurance Name,PG Reference ,PG Expiry Date,Remaining Days for PG Expiry,Submit PG,Status,Satus Date,PG Receiver name,BI Officer,LC Opening Status,LC Opened Date,LC Expiry Date,LC Age (Days),Shipment Officer,Shipment Status,Order Closure,,
16,7/21/2025,EPSA-ICB-G-0010-2017-BID,4500002915,Tenama International FZ-LLC,Utd.Arab Emir,Life Care Pharmaceuticals Trading,IUCD - IUCD (Intrauterine Contraceptive Device) - Long acting (CU380A)-,PC,"339,876",4.35,"1,478,460.60","1,478,460.60",USD,STBF,Sea,8/18/2025,8/18/2025,8/29/2025,9/2/2025,Awash Bank,AA00041818,8/28/2026,203,11,Released,2/6/2026,Jibrili Ali,Dejene,Opened,10/6/2025,1/4/2026,285,Hirkisa,Full Delivered,,,
17,7/21/2025,EPSA-NCB-G-0043-2017-BID/LOT-2,4500005946,Sa-med plc,Ethiopia,Sa-med plc,Cannula Intravenous Set - 24G of 100 pieces,PAC,"24,271","1,445.00","35,071,595.00","67,411,035.00",ETB,RDF-Local,Truck,8/22/2025,7/24/2025,7/22/2025,7/27/2026,National Insurance Company of Ethiopia S.C,SA-MED PRIVATE Limimted,7/27/2026,9,-2,,,,,Local,,,"46,221",Hirkisa,,,Not Delivering ,
,,,,,,,Cannula Intravenous Set - 18G of 100 pieces,PAC,"27,176","1,190.00","32,339,440.00",,,,,,,,,,,,,,,,,,,,,,,,,,
18,7/21/2025,EPSA-NCB-G-0043-2017-BID/LOT-1,4500005936,Sa-med plc,Ethiopia,Sa-med plc,Cannula Intravenous Set - 24G of 100 pieces,PAC,"24,271","1,445.00","35,071,595.00","67,411,035.00",ETB,RDF-Local,Truck,7/22/2025,7/24/2025,7/22/2025,7/27/2026,National Insurance Company of Ethiopia S.C,SA-MED PRIVATE Limimted,7/27/2026,9,ENTER DATE,,,,,Local,,,"46,221",Hirkisa,,,Not Delivering ,
,,,,,,,Cannula Intravenous Set - 18G of 100 pieces,PAC,"27,176","1,190.00","32,339,440.00",,,,,,,,,,,,,,,,,,,,,,,,,,
19,7/22/2025,ICB/EPSS6/RDF-R 2016/MS/LS/12/23,4500006025,Medico (Huaian) Co.Ltd,China,Woyn Chemicals G.B PLC,Cat Gut Chromic - Gauge 5.0(1) 75cm on 48 mm 1/2 circle Round Bodied Needle of 12 Pieces,DZ,"11,081",2,"22,162.00","22,162.00",USD,RDF,,8/12/2025,8/12/2025,8/20/2025,8/20/2025,Berhan Bank S.C,BRIB/MK/982/25,8/18/2026,31,8,,,,Gebresillassei,Opened,9/1/2025,11/29/2025,320,,6 USD Remain,,3 DZ  6.0 USD Remain,
20,7/22/2025,EPSA-NCB-G-0069-2017-BID,4500005947,Novel Industria group,Ethiopia,Novel Industria group,Chemical-Ultrasound gel with plastic holder bag - 5 Liter,JAR,"18,171",1.1,"19,988.10","19,988.10",ETB,RDF-Local,,7/24/2025,7/15/2025,7/17/2025,7/23/2025,africa Insurance,P/02/1702/247-25/1/00017,5/23/2026,-56,2,,,,,Local,,,"46,221",Hirkisa,Fully Delivered,,,
22,7/23/2025,EPSA-ICB-G-0017-2017-BID(1st Lot),4500005771,Tenama International FZ-LLC,Utd.Arab Emir,Life Care Pharmaceuticals Trading,Miconazole - 0.02 - Oral Gel of 40gm,TU,"42,074",1.11,"46,702.14","46,702.14",USD,RDF,,7/25/2025,7/24/2025,8/13/2025,8/19/2025,Awash Bank,AA 00041813,8/11/2026,186,20,Released,2/6/2026,Jibril Ali,Dejene,Opened,8/28/2025,11/25/2025,324,Efa,Full Delivered,,,
23,7/23/2025,PO#7998,4500005832,Scott Edil Pharmacia,India,Kare Pharmaceuticals P.L.C,Heparin Sodium - 5000IU/ml in 5ml Ampoule  - Injection of  25,PAC,"17,461,000",37.25,"650,422,250.00","650,422,250.00",USD,RDF,,7/25/2025,7/25/2025,9/8/2025,9/9/2025,Awash Bank,AA 00044472,8/27/2026,40,45,,,,Mahider,Opened,9/17/2025,12/15/2025,304,Semira,37.25 USD Remain,,1 PAC  37.25 USD Remain,
24,7/23/2025,ICB/EPSS6/RDF-R/PH/27/23,4500005948,Sakar Healhcare Limited,India,Sakar Healhcare Limited,Tramadol HCI -50mg/ml in 2ml Ampoule - Injection of 5,PAC,"616,529",0.49,"302,099.21","302,099.21",USD,RDF,,7/25/2025,7/24/2025,8/19/2025,8/20/2025,Abay Bank,AB/IFBFI/298/2025,8/18/2026,31,26,,,,Gebresillassei,Opened,9/5/2025,12/3/2025,316,Sagni,0.49 USD Remain,,1 PAC 0.49 USD Remain,
25,7/23/2025,ICB/EPSS6/RDF-R/PH/23/23(1st Lot),4500005781,Aurobindo pharma,India,Aurobindo pharma,Tamsulosin - 0.4mg - capsule of 3x10,PAC,"6,177",2.1,"12,971.70","12,971.70",USD,RDF,,7/25/2025,7/24/2025,9/15/2025,9/16/2025,Bunna Bank,2005.PB 0058,9/10/2026,54,53,,,,Gebresillassei,Opened,9/23/2025,12/21/2025,298,Tesfaye,Full Delivered,,,
26,7/23/2025,ICB/EPSS6/RDF-R/PH/23/23(2st Lot),4500005831,Scott Edil Pharmacia,India,Kare Pharmaceuticals P.L.C,Amoxicillin + Acid - (500mg + 125mg) - Tablet (Film Coated) of 5x3,PAC,"948,030",9.27,"8,788,238.10","8,788,238.10",USD,RDF,,7/25/2025,7/24/2025,8/8/2025,8/9/2025,Awash Bank,AA 00043768,8/2/2026,15,15,,,,Mahider,Opened,8/23/2025,11/20/2025,329,Efa,Full Delivered,,,
27,7/23/2025,ICB/FW/EPSS6/MOH-GF/Malaria/PH/14/23,4500005214,Ajanta pharma Ltd.,India,"ZE,EL Trading PLC",Artemether + Lumefanthrine - 20mg+120mg (6x2) - Tablet (Dispersible) of 30,PAC,"12,619",11.1,"140,070.90","1,631,369.70",USD,GF,,7/25/2025,7/24/2025,10/1/2025,10/1/2025,Awash Bank,AA 00043778,7/31/2026,13,69,,,,Mulugeta,Opened,10/17/2025,1/14/2026,274,Sagni,14 PAC  202.40 USD Remain,,,
,,,,,,,Artemether + Lumefanthrine - 20mg + 120mg (6x4) - Tablet of 30,PAC,"94,386",15.8,"1,491,298.80",,,,,,,,,,,,,,,,,,,,,,,,,,
28,7/24/2025,ICB/EPSS6/RDF-R/PH/PH/23/23(2nd Lot),4500005784,Medochemie Ltd,Cyprus,Amba pharmaceuticals PLC,Lamotrigine 50mg tablet of 10x10,PAC,"6,691",7.4,"49,513.40","49,513.40",USD,RDF,,7/25/2025,,,,,,,ENTER DATE,ENTER DATE,,,,Mulugeta,,,,"46,221",,,,Suspended,
29,7/25/2025,ICB/FW/EPSA6/GF/ARV/OI/PH/03/22,4500005226,Unique Pharmaceutical Laboratories,India,Ethio Spydra P.LC,Sulphamethoxazole + Trimethoprim - (200mg + 40mg)5ml - suspension of 100ml,BT,"43,392",0.28,"12,149.76","12,149.76",USD,GF-HIV,,8/11/2025,7/28/2025,7/29/2025,7/29/2025,CBE,MD2519766102,9/15/2026,59,1,,,,Mahider,Opened,9/2/2025,11/30/2025,319,Efa,Full Delivered,,,
30,7/25/2025,ICB/EPSS/SDG and RDF/MD/19/24,4500004538,BOSTON MEDICAL FZE,Utd.Arab Emir,Innfinity Advanced Technology Solution PLC,Automated Blood component centrifuge with consumable and supply,SET,7,"149,365.13","1,045,555.91","2,460,785.99",USD,SDG,,8/29/2025,7/28/2025,8/13/2025,8/16/2025,Lion Insurance Bank S.C,LIB/IC/1220/08/25,8/25/2026,38,16,,,,Mulugeta,Opened,9/22/2025,12/20/2025,299,Nebiyu,"3,036.16 USD Remain",,,
,,,,,,,"Blood bag collecting 450ml (cassette) (shelf life _>2 year)-------59,664",SET,"59,664",23.72,"1,415,230.08",,,,,,,,,,,,,,,,,,,,,,,,,,
31,7/25/2025,po.no 007338,4500005897,Medochemie Ltd,cyprus,Amba pharmaceuticals plc,Praziquantel - 600mg - Tablet of 10x10,PAC,"19,138",8.84,"169,179.92","169,179.92",USD,RDF,,7/28/2025,8/12/2025,10/1/2025,10/1/2025,CBE,MD2525532377,8/31/2026,44,50,,,,Mulugeta,Opened,10/9/2025,1/6/2026,282,Samuel ,Full Delivered,Closed,,
32,7/25/2025,EPSA-ICB-G-0012-2017-BID,4500005943,Orient Int.Holding Shanghai Rongheng IN,China,ZAF Pharmaceuticals,Salbutamol (Albuterol) - 0.1mg/dose - Aerosol (Oral Inhalation) of 200 methered dose,BT,"286,332",0.78,"223,338.96","223,338.96",USD,RDF,,7/28/2025,8/1/2025,9/5/2025,9/6/2025,Awash Bank,AA00043798,8/25/2026,38,35,,,,Dejene,Opened,9/12/2025,12/10/2025,309,Semira,Full Delivered,,,
33,7/28/2025,EPSA-ICB-G-0008-2017-BID,4500004786,Care Pharma FZ ,Utd Arab Emir,Lifecare pharmaceutical trading,Chemical - Immersion Oil - Refractive Index of 1.515 of 100ml,BT,"5,510",1.16,"6,391.60","6,391.60",USD,RDF,,7/28/2025,7/28/2025,11/4/2025,11/5/2025,Awash Bank,AA 00038125,11/3/2026,127,99,Released,6/29/2026,Jibril Ali,Mahider,Opened,11/18/2025,1/18/2026,242,Amanuel,Full Delivered,,,
34,7/28/2025,ICB/Framework/EPSS6/RDF-R/PH/06/23,4500005903,Khandelwal Laboratories Pvt.Ltd,India,Estro Import & Export Pvt.Ltd ,Anastrazole - 1mg - Tablet (Film Coated) of 10x3,PAC,"5,950",1.35,"8,032.50","8,032.50",USD,RDF,,7/28/2025,8/1/2025,9/9/2025,9/17/2025,Berhan benk,BrB/MB/PG/2678/25,9/9/2026,53,39,,,,Gebresillassei,Opened,10/1/2025,12/29/2025,290,Tesfaye,Full Delivered,,,
35,7/28/2025,EPSA-ICB-G-0026-2017-BID,4500005822,Care Pharma FZ ,Utd Arab Emir,Lifecare pharmaceutical trading,"C-Reactive protein (CRP) immunochromatographic rapid Test Cassette, individually packed- Whole Blood/Serum/plasma of 50 Test",PAC,"1,102",25.87,"28,508.74","28,508.74",USD,RDF,,7/28/2025,7/28/2025,9/19/2025,9/19/2025,Awash Bank,AA00041828,9/16/2026,222,53,Released,2/6/2026,Jibril Ali,Mahider,Opened,10/1/2025,12/29/2025,290,Amanuel,Full Delivered,,,
36,7/28/2025,EPSA-ICB-0012-2017-BID,4500005945,Medicef Pharma,India,NEBIDOM TRADING PLC,Amoxicillin + Clavulaic Acid - (500mg + 125mg) - Tablet (Film coated) of 5x3,PAC,"536,512",0.92,"493,591.04","493,591.04",USD,RDF,,7/28/2025,7/28/2025,8/8/2025,8/11/2025,Bunna Bank,2005.PB.0043,8/31/2026,44,11,,,,Yordanos,Opened,9/1/2025,11/29/2025,320,Sena,Full Delivered,,,
37,7/28/2025,EPSA-ICB-G-0012-2017-BID,4500006034,VHB Medi Sciences Limited,India,Droga pharma plc,Vancomycine - 1mg - Injection of Vial,VI,"406,354",0.8,"325,083.20","325,083.20",USD,RDF,,7/28/2025,7/28/2025,9/5/2025,9/6/2025,Awash Bank,AA00043794,7/31/2026,13,39,,,,Yordanos,Opened,9/17/2025,12/15/2025,304,Semira,Full Delivered,,,
38,7/28/2025,EPSA-ICB-G-0062-2017-BID,4500004629,SEVATTO PHARMA,Ahemedabad India,Leyan pharmaceuticals,Sodium Stibogluconate - 100mg/ml Injection of 30ml,BT,"39,547",4.49,"177,566.03","177,566.03",USD,RTI,,7/28/2025,7/28/2025,11/18/2025,11/19/2025,CBE,MD2530887662,10/27/2026,120,113,Released,6/29/2026,Mulugeta Chernt,Dejene,Opened,12/5/2025,3/4/2026,225,Hirkisa,Full Delivered,,,
39,,,4500006026,Beximco pharmaceuticals Ltd,Bangladesh,Bshaw General Trading PLC,Salbutamol (Albuterol) - 0.1mg/dose - Aerosol (Oral Inhalation) of 200 methered dose,BT,,,0.00,0.00,,,,,,,,,,,"-46,221",ENTER DATE,Released,,,Dejene,Opened,9/5/2025,12/3/2025,316,Semira,Full Delivered,,,
40,7/28/2025,EPSA-ICB-G-0012-2017-BID,4500005944,Aurobindo pharma,India,Mesroy International plc,Amoxicillin + Clavulaic Acid - (500mg + 125mg) - Tablet (Film coated) of 5x3,PAC,"804,768",0.92,"740,386.56","740,386.56",USD,RDF,,7/28/2025,8/1/2025,9/16/2025,9/17/2025,Bunna Bank,2005.PB.005,9/10/2026,54,46,,,,Yordanos,Opened,9/22/2025,12/20/2025,299,Semira,,,Has huge remaining value,
