,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,COMPREHENSIVE PHARMACEUTICAL PROCUREMENT CONTRACT MANAGEMENT FOLLOW UP SHEET,,,,,,,,,,,Performance Guarantee follow up & Status,,,,,,,,,,,,Bank and Insurance Team,,,,,Shipment Follow Up and Port Clearance Team,,,Remark,
S.N,Recevied date from TMD,Tender reference number,PO No,Supplier,Country of Origin,Local A.,Discription of the product,Unit,Qauntity,Unit Price,Total price,Total PO Amount,Currency,Budget Source,Mode of Shipment,PO Transferred to BIT/LT Date,PG Requested Date,PG received Date,PG Confirmed Date,Bank/Insurance Name,PG Reference ,PG Expiry Date,Remaining Days for PG Expiry,Submit PG,Status,Satus Date,PG Receiver name,BI Officer,LC Opening Status,LC Opened Date,LC Expiry Date,LC Age (Days),Shipment Officer,Shipment Status,Order Closure,,
905,12/26/2025,EPSA-ICB-G-0012-2018-BID,4500008790,Medicamen Biotech Limited,India,Droga Pharma PLC,Dexamethasone 4mg tablet of 10x10,PAC,"21,721",0.73,"15,856.00","15,856.00",USD,RDF,Air,12/29/2025,1/16/2026,1/30/2026,2/3/2026,Awash Bank,AA 00046407,12/31/2026,166,14,,,,Yordanos,,,,,,,,GMP Expired,
906,12/29/2025,EPSA-ICB-G-0073-2018-BID-Direct,4500008986,Intas Pharmaceutical Ltd,India,Gopani Brathers private Limited,Tacrolimus - 1mg - Capsule of 100,BT,"3,310",19,"62,890.00","62,890.00",USD,RDF,Air,  ,,1/26/2026,1/26/2026,CBE,MD2601390424,12/31/2026,166,ENTER DATE,,,,,,,,"46,221",,,,,
907,12/29/2025,ICB/EPSS6/RDF-R/PH/23/23,4500008830,Serum Institute of India,India,ZE-EL Trading PLC,Rabies vaccine inactivated (freez dried) 2.5 IU/ML 1ML Dose vial with diluent ampule injection of 5,PAC,"7,554",35.75,"270,055.50","270,055.50",USD,RDF,Air,12/30/2025,12/30/2025,1/9/2026,1/10/2026,CBE,MD26600303689,2/15/2027,212,10,,,,Dejene,Opened,1/17/2026,4/16/2026,182,Sena,,,,
908,12/29/2025,EPSA-ICB-G-0012-2018-BID,4500009047,Scott Edill  Pharmacia Ltd,India,Kare Pharmaceutical PLC,Amoxacillin +Clavulanic acid(125mg+31.25mg)/5ml oral suspension of 100 ml,PAC,"874,008",0.475,"415,153.80","415,153.80",USD,RDF,Sea,12/30/2025,12/30/2025,1/9/2026,1/9/2026,Awash bank,AA00045017,1/2/2027,168,10,,,,Mahider,Opened,1/23/2026,4/22/2026,176,,,,,
909,12/29/2025,ICB/Framework/EPSS6/RDF/PH/06/23,4500008646,Intas Pharmaceutical Ltd,India,Gopani Brathers private Limited,Mycophenolate Mofetil - 500mg - Tablet of 10x5,PAC,"9,000",8.25,"74,250.00","74,250.00",USD,RDF,Air,12/29/2025,3/11/2026,3/10/2026,,CBE,MD2601304741,12/15/2026,150,-1,,,,Yordanos,Opened,,,"46,221",Sagni,Fully Delivered,,Fully delivered by emergency order so that no need of PG,
910,12/29/2025,EPSA -NCB-G-0019-2017-BID,4500006690,Sansheng Pharmaceuticals PLC,Ethiopia,Sansheng Pharmaceuticals PLC,Ferrous sulfate  325 mg tablet of  10x10,PAC,"31,500",170,"5,355,000.00","5,355,000.00",ETB,RDF,Truck,12/29/2025,,12/29/2025,12/30/2025,Nib insurance company (S.Co),P/21/59/02/2025/05/00009,5/20/2026,68,ENTER DATE,Released,3/13/2026,Tariku,,,,,"46,221",Eyob,,,,
6/29/1902,12/29/2025,EPSA -NCB-G-0019-2017-BID,4500007382,Sansheng Pharmaceuticals PLC,Ethiopia,Sansheng Pharmaceuticals PLC,Acyclovir  200mg capsule of 10x10,PAC,"16,821",310,"5,214,510.00","267,927,822.00",ETB,RDF,Truck,12/29/2025,,12/26/2025,12/27/2025,Nib insurance company (S.Co),P/021/59/02/2025/12/00015,12/24/2026,159,ENTER DATE,,,,,,,,"46,221",Eyob,On transit,,,
,,,,,,,Ciprofloxacine  500 mg tablet of 10x10,PAC,"352,225",317,"111,655,325.00",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sodium Chloride (normal saline) 0.009 intravenous infusion with giving set of 1000 ml,BAG,"616,970",126.1,"77,799,917.00",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Carbamazepine  200mg tablet of 10x10,PAC,"30,095",400,"12,038,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sulphamethoxazole+trimethoprim (400mg+80mg)tablet of 10x10,PAC,"11,115",1480,"16,450,200.00",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Water for injection 10 ml injection of 100 vial,PAC,"57,123",690,"39,414,870.00",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ferrous sulfate  325 mg tablet of  10x10,PAC,"31,500",170,"5,355,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,
7/6/1902,12/26/2025,EPSA-ICB-G-0012-2018-BID,4500008836,Tenama International FZ-LLC,Utd.Arab Emir.,Life care pharmaceutical trading,Chloramphenicol -0.5%+ Dexamethasone 0.1% eye drop of 10 ml,BT,"224,235",0.15,"33,635.25","45,087.81",USD,RDF,Sea,12/29/2025,12/29/2025,1/21/2026,1/21/2026,awash Bank,AB/IFB/CRM&OP/1104/26,1/19/2027,185,23,,,,Gebresillassei,Opened,1/26/2026,4/25/2026,173,Semira,Awaiting Shipment,,LC Extension allowed ,
,,,,,,,Triamcinolol Acetonide 40mg/ml in vial injection,VI,"33,684",0.34,"11,452.56",,,,,,,,,,,,,,,,,,,,,,,,,,
920,12/30/2025,EPSA-ICB-G-0014-2017-BID,4500008827,Rise Global GMBH,Germany,Ema construction and Trading PLC,Polyglycolic acid absorbable braded violet -guage 2.0(4/0) 75cm on 26 mm1/2 circle rounded bodid needle of 12 pices,DZ,"4,662",3.03,"14,125.86","24,835.86",USD,RDF,Air,12/30/2025,1/16/2026,1/23/2026,1/24/2026,Berhan Bank,BrB/ATB/071/26,1/17/2027,183,7,,,,Selamawit,Opened,2/4/2026,5/4/2026,164,Yoseph,Awaiting Shipment,,,
,,,,,,,Cat Gut chromic guage 5.0(1) 75 cm on 48 mm 1/2 circle rounded bodide needle of 12 pices,DZ,"4,250",2.52,"10,710.00",,,,,,,,,,,,,,,,,,,,,,,,,,
921,12/30/2025,EPSA-NCB-G-0009-2018-BID,4500008987,Follium Trading PLC,Ethiopia,Follium Trading PLC,Chemical potasium hydroxide 10% solution of 1 L,BT,"5,946",640,"3,805,440.00",3805440,ETB,RDF,Truck,12/30/2025,,12/29/2025,12/31/2025,Lion Insurance Company S.C,P/103/7001/2025/00010,12/8/2026,143,ENTER DATE,,,,,,,,"46,221",Hirkisa,Awaiting Shipment,,,
,,,,,,,Chemical denathured alcohol 70% solution of 1 L,BT,"18,516",179.81,"3,329,361.96",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Formalin 37% solution of 1L,BT,"6,201",490,"303,849.00",,,,,,,,,,,,,,,,,,,,,,,,,,
922,12/30/2025,EPSA-NCB-G-0009-2018-BID,4500008988,Follium Trading PLC,Ethiopia,"Follium Trading PLC

",Chemical -genitan violet 1% solution of 500 ml,BT,"4,883",90,"439,470.00","9,363,574.00",ETB,RDF,Truck,12/30/2025,,12/29/2025,12/31/2025,Lion Insurance Company S.C,P/103/7001/2025/00010,12/8/2026,143,ENTER DATE,,,,,,,,"46,221",Hirkisa,Awaiting Shipment,,,
,,,,,,,Chemical povidon iodine 10% solution of 130 ml,BT,"79,752",107,"8,533,464.00",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Chemical Safranine 0.25% solution of 500ml,BT,"4,883",80,"390,640.00",,,,,,,,,,,,,,,,,,,,,,,,,,
923,12/30/2025,NCB-G-0052-2017-BID,4500008945,Elsmed Healthcare solution Ltd  Ethiopia,Ethiopia,Elsmed Healthcare solution Ltd  Ethiopia,Ultrasound -ob/Gyn,EA,130,2123440.95,"276,047,323.50","276,047,323.50",ETB,MOF-ME- 23-001-011,Truck,12/31/2025,,12/30/2025,12/30/2025,CBE,MD2520944426,8/1/2026,14,ENTER DATE,,,,,,,,"46,221",Hirkisa,Full Delivered,,,
924,1/2/2026,EPSA-NCB-G-0025-2018-BID,4500008839,Hummanwell Pharmaceutical Ethiopia PLC,Ethiopia,Hummanwell Pharmaceutical Ethiopia PLC,Albendazole - 400mg - Tablet of 10x10,PAC,"145,640",368,"53,595.520.00","53,595,520.00",ETB,RDF,Truck,1/2/2026,,12/30/2025,12/31/2025,Bunna Bank,G/ARK/1307/001252/2025,12/26/2026,161,ENTER DATE,,,,,,,,"46,221",Eyob,Awaiting Shipment,,,
925,1/2/2026,EPSA-NCB-G-0021-2018,4500008833,Humanwell pharmaceutical ethiopia plc,Ethiopia,Humanwell pharmaceutical ethiopia plc,Norfloxacin - 400mg Tablet of 10x10,PAC,"26,660",375,"9,997,500.00","9,997,500.00",ETB,RDF,Truck,1/2/2026,,12/30/2025,12/31/2025,Bunna Bank,G/ARK/1307/001251/2025,12/26/2026,333,ENTER DATE,Released,1/27/2026,Sentayehu Degfaw,,,,,"46,221",Eyob,Awaiting Shipment,,,
926,12/29/2025,EPSA-ICB-G-001602017-BID,4500008770,Tenama International FZ-LLC,Utd.Arab Emir,Life care pharmaceutical trading,Ergometrine maleat 0.25 mg/ml ampoule injection of 10,PAC,"5,363",1.43,"7,669.09","7,669.09",USD,SDG-MH-23-001-011,Air,12/31/2025,1/1/2026,1/21/2026,1/21/2026,Awash Bank,AB/IFB/CRM&OP/1103/26,1/19/2027,185,20,,,,Gebresillassei,Opened,2/9/2026,5/9/2026,159,Abdulkerim,,,EFDA Prohibited SPIP,
927,12/30/2025,"EPSA-ICB-G-0014-2017-BID-,PR 3",4500008831,"Healthium Medtech Pvt, Ltd",India,Medilab medical Equpment supplies Import,PGAR Polyglycolic acid absorbable braded violet -guage 5.0(2) 75 cm on 40 mm 1/2 circle rounded boded needle of dozen,DZ,"21,330",3.31,"70,602.30","70,602.30",USD,RDF,Air,12/31/2025,1/1/2026,1/21/2026,1/22/2026,Awash Bank,AA 00045037,1/2/2027,168,20,,,,Gebresillassei,Opened,1/28/2026,4/27/2026,171,Sisay,Under Clearance,,,
928,12/31/2025,EPSA-ICB-G-0006-2018-BID,4500009008,Rise Global Gmbh,Germany,Ema construction and Trading PLC,Serology- Anti-streptolycin O Antibody (ASO) Latex Agglutination Test of  50 tests,PAC,"6,612",4.79,"31,671.48","31,671.48",USD,RDF,Air,12/31/2025,1/1/2026,1/12/2026,1/13/2026,Birihan Bank S.C,BrB/ATB/011/26,1/7/2027,173,11,,,,Selamawit,Opened,1/20/2026,4/19/2026,179,Kaleab,Awaiting Shipment,,,
929,12/31/2025,EPSA-NCB-G-0041-2017-BID,4500006539,Kilitch Estro Biotech Plc,Ethiopia,Kilitch Estro Biotech Plc,Ceftriaxone 1g in vial  -powder for injection with 10 ml diluent,PAC,"4,024,264",38.5,"154,934,164.00","464,619,153.00",ETB,RDF,Truck,12/31/2025,,6/27/2025,6/27/2026,Ethiopia insurance corporation,100002734484,6/25/2027,342,ENTER DATE,,,,,,,,7/18/2026,Eyob,Awaiting Shipment,,,
,,,,,,,Cefpime 1gm in vial powder for injection with solvent water for injection,VI,"265,616",104,"27,624,064.00",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Cefixime 400 mg capsule of 7x2,PAC,"102,180",223.75,"22,862,775.00",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ceftazidime 1 g in vial powder for  injection with diluent,PAC,"360,910",89,"32,120,990.00",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ceftriaxone 0.5g in vial  -powder for injection with 5 ml diluent,PAC,"422,844",28.5,"12,051,054.00",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Cephalexine 500 mg capsule of 10x10,PAC,"215,811",841,"181,497,051.00",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Cephalexine 250mg/5ml oral suspension of 100 ml,BT,"291,557",115,"33,529,055.00",,,,,,,,,,,,,,,,,,,,,,,,,,
7/24/1902,12/31/2025,EPSA-ICB-G0014-2017-BID,4500008829,Avian International,India,Pharmakon Trading House PLC,Catheter condom latex medium 28 mm,EA,"16,749",0.09,"1,507.41","31,550.67",USD,RDF,Sea,1/1/2026,1/2/2026,1/24/2026,1/26/2026,Abay Bank,AB/GF/00386/26,7/12/2026,-6,22,,,,Gebresillassei,Opened,1/23/2026,4/22/2026,176,Yoseph,,,,
,,,,,,,Catheter folly silicopnized latex two way 30-50 ml ballon 16 CH,EA,"142,182",0.19,"27,014.58",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Oxygen face mask for adult,EA,"9,544",0.208,"1,985.15",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Oxygen face mask for Pediatrics,EA,"5,166",0.202,"1,043.53",,,,,,,,,,,,,,,,,,,,,,,,,,
940,12/31/2025,EPSA-ICB-G-0012-2018-BID,4500008811,Scott Edil Pharmacia LTD,India,Kare Pharmaceutical PLC,Loratadine 5mg/5ml syrup of 100 ml,BT,"23,498",0.56,"13,158.88","172,922.78",USD,RDF,Sea,12/31/2025,1/1/2026,1/28/2026,1/29/2026,Awash Bank,AA 00046405,1/22/2027,188,27,,,,Mahider,Opened,1/27/2026,4/26/2026,172,Semira,,,,
,,,,,,,Hydrocortisone sodium siccinate 100mg in vial powder for IV/IM injection with diluent,EA,"1,101,820",0.145,"159,763.90",,,,,,,,,,,,,,,,,,,,,,,,,,
7/30/1902,1/1/2026,EPSA-ICB-G-0012-2017-BID,4500009061,Ciron drugs and  Pharmaceuticals Pvt Ltd,India,Gatemaz General Business PLC,Phenytoin (diphenhydantoin) sodium 250 mg in vial  powder for injection ,VI,"12,755",2.16,"27,550.80","82,652.62",USD,RDF,Air,1/8/2026,1/8/2026,2/2/2026,2/3/2026,CBE,MD2601447719,7/10/2027,357,25,,,,Gebresillassei,Opened,2/10/2026,5/10/2026,158,Sagni,,,,
,,,,,,,Acyclovir sodium 500 mg  IV infusion,VI,"8,718",1.35,"11,769.30",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Fluphenazine decanoate 25 mg/ml in 2 ml ampoule injection (depot oily) of 10,PAC,"14,069",3.08,"43,332.52",,,,,,,,,,,,,,,,,,,,,,,,,,
945,1/5/2026,EPSA-ICB-G-00062018-BID,4500009030,Care pharma FZ LLC,Utd Arab Emir,Life care pharmaceutical trading,Serology cardiac troponin immunochromatography rapid test cassette individualy packed of 20test,PAC,"1,749",8.32,"14,551.68","594,615.96",USD,RDF,Sea,1/9/2026,1/9/2026,1/21/2026,1/21/2026,Awash Bank,AB/IFB/CRM&OP/1106/26,1/19/2027,185,12,,,,Selamawit,Opened,1/29/2026,4/28/2026,"46,221",Samuel ,,,,
,,,,,,,Serology occult blood immunological immunochromatographic  test cassete of 50 test,PAC,"3,852",15.93,"61,362.36",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Serology C-reactive protine (CRP) Test cassette of 50 test,PAC,"8,796",24.9,"219,020.40",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Serology Prostet spesfic antigen test cassete of 25 teste,PAC,"1,128",6.69,"7,546.32",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,laboratory supplies  EDTA hematocrite capilary length  75 mm ID 1.1-1.2 mm OD 1.5-1.6 mm 50 micro of 100 s,PAC,"36,420",7.24,"263,680.80",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Laboratory supplies  vacutainer  blood collector  vacume red top 10 ml,PAC,"5,472",5.2,"28,454.40",,,,,,,,,,,,,,,,,,,,,,,,,,
951,1/5/2026,ICB/FW/EPSA6/MOH-GF/ARV/OI/PH/03/22,4500006851,Micro Labs Limited,India,Bicare pharmaceuticals plc,Efaferenze 600 mg tablet of 30,PAC,"15,858",2.395,"37,979.91","179,243.63",USD,GF-HIV,Sea,1/9/2026,1/9/2026,3/6/2026,3/7/2026,Hibret Bank,HB/DIED/0140/26,12/31/2026,166,56,,,,Mulugeta,Opened,3/21/2026,6/18/2026,119,Efa,,,LC extension requested due to Middle East War,
,,,,,,,Lamivudine (3TC) 150 mg tablet of 60,PAC,"83,588",1.69,"141,263.72",,,,,,,,,,,,,,,,,,,,,,,,,,
953,1/5/2026,ICB/FW/EPSA6/MOH-GF/ NFMILL/ARV//PH/01/23,4500006876,Cipla Phatrmaceutical Ltd,India,Micro pharma PLC,Lamuvidine ( 3TC) +Doltugravir(DTG) +tenofovir(TDF)- (300 MG+ 50MG+300MG) Tablet of 90,PAC,"549,290",8.4,"4,614,036.00","4,614,036.00",USD,GF-HIV,Sea,1/12/2026,1/13/2026,1/21/2026,1/22/2026,Hibret Bank,HB/DIED/0041/26,1/31/2027,197,8,,,,Yordanos,Opened,2/4/2026,5/4/2026,164,Efa,,,,
954,1/5/2026,ICB/FW/EPSA6/MOH-GF/ARV/OI/PH/03/22,4500006953,Mylan Laboratory Ltd,India,ZE-EL Trading pvt.Ltd,Ritonavir 100 mg  Tablet of 30,PAC,"2,734",7,"19,138.00","157,406.10",USD,GF-HIV,Air,1/9/2026,1/13/2026,2/5/2026,2/6/2026,Awash Bank,AA00046432,1/31/2027,197,23,,,,Mulugeta,Opened,2/13/2026,5/13/2026,155,Abdulkerim,,,LC extension due to Batch size & Raw material Shortage,
,,,,,,,Lopinavir+ritonavir( 200 mg+50mg) tablet of 120,PAC,"8,273",16.1,"133,195.30",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lamuvidine + zidovudine(30 mg+60mg) tablet of 60,TIN,"2,984",1.7,"5,072.80",,,,,,,,,,,,,,,,,,,,,,,,,,
957,1/5/2026,ICB/FW/EPSA6/MOH-GF/ARV/OI/PH/03/22,4500006862,Hetro lab Ltd,India,General chemical & trading pvt ltd,Lamuvudine +tenofovir- (300mg+300mg) tablet of 30,PAC,"32,928",2.71,"89,234.88","89,234.88",USD,GF-HIV,Sea,1/12/2026,1/13/2026,2/2/2026,2/3/2026,CBE,MD2601933613,1/31/2027,197,20,,,,Yordanos,Opened,2/10/2026,5/10/2026,158,Abdulkerim,,,,
,,,,,,,Dauronavir (DRV) 600MG Tablet of 60,PAC,"2,048",41,"83,968.00","83,968.00",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ritonavir 100 mg  Tablet of 30,PAC,"4,100",7,"28,700.00","28,700.00",,,,,,,,,,,,,,,,,,,,,,,,,
960,1/5/2026,ICB/FW/EPSA6/MOH-GF/ARV/OI/PH/03/22,4500006991,Milan laboratory( india) PVT LTD,India,ATMA IMPEX,Sulphamethoxazole+ trimetoprime (800mg+160mg)tablet of 10x100,PAC,"15,026",20,"300,520.00","300,520.00",USD,GF-HIV- GC7-0001-011,Air,1/9/2026,1/9/2026,1/21/2026,1/22/2026,CBE,MD2600951940,1/5/2027,171,12,,,,Mulugeta,Opened,2/4/2026,5/4/2026,164,Efa,,,,
961,1/5/2026,ICB/FW/EPSA6/MOH-GF/ARV/OI/PH/03/22,4500006869,"Shanghai Dasano Bio Pharmaceutical CO,",China,Gopany brothers PLC,Lamuvidine + zidovudine (150 MG+300MG) Tablet of 60,PAC,"61,098",4.4,"268,831.20","268,831.20",USD,GF-HIV- GC7-0001-011,Sea,1/9/2026,1/9/2026,2/4/2026,2/5/2026,Awash Bank,AA00046421,1/31/2027,197,26,,,,Mulugeta,Opened,2/12/2026,5/12/2026,156,Efa,,,,
962,1/5/2026,ICB/FW/EPSA6/MOH-GF/ARV/OI/PH/03/22,4500006859,Aurobindo Pharma,India,Mesroy international PLC,Abacavir (ABC) 300MG Tablet of 60,TIN,"55,698",6.1,"339,757.80","428,549.30",USD,GF-HIV- GC7-0001-011,Sea,1/9/2026,1/9/2026,1/16/2026,1/21/2026,Bunna Bank,2026.PB.0004,3/13/2027,238,7,,,,Mulugeta,Opened,2/4/2026,5/4/2026,164,Efa,,,a shortfall of 798 packs from the original PO quantity due to yield loss during production (Letter from the supplier),
,,,,,,,Lopinavir+ritonavir( 200 mg+50mg) tablet of 120,PAC,"5,515",16.1,"88,791.50",,,,,,,,,,,,,,,,,,,,,,,,,,
964,1/5/2026,ICB/FW/EPSA6/MOH-GF/ARV/OI/PH/03/22,4500006952,Mylan Laboratory Ltd,India,ZE-EL Trading pvt.Ltd,Abacavir (ABC) 300MG Tablet of 60,TIN,"83,546",6.1,"509,630.60","714,364.11",USD,GF-HIV- GC7-0001-011,Sea,1/9/2026,1/9/2026,2/5/2026,2/6/2026,Awash Bank,AA00046431,1/31/2027,197,27,,,,Mulugeta,Opened,2/13/2026,5/13/2026,155,Efa,,,LC extension due to higher Batch size & Raw material Shortage,
,,,,,,,Dauronavir (DRV) 600MG Tablet of 60,PAC,"1,366",41,"56,006.00",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lamuvudine +tenofovir- (300mg+300mg) tablet of 30,PAC,"54,881",2.71,"148,727.51",,,,,,,,,,,,,,,,,,,,,,,,,,
967,1/5/2026,ICB/FW/EPSA6/MOH-GF/ARV/OI/PH/03/22,4500006954,Mylan Laboratory Ltd,India,Mylan Laboratory Ltd,Lamuvidine ( 3TC) +Doltugravir(DTG) +tenofovir(TDF)- (300 MG+ 50MG+300MG) Tablet of 30,PAC,"122,321",3.58,"437,909.18","437,909.18",USD,GF-HIV- GC7-0001-011,Sea,1/12/2026,1/13/2026,2/5/2026,2/6/2026,Awash Bank,AA00046436,1/31/2027,197,23,,,,Mulugeta,Opened,2/13/2026,5/13/2026,155,Efa,,,,
968,1/5/2026,ICB/FW/EPSA6/MOH-GF/ARV/OI/PH/03/23,4500006951,Mylan Laboratory Ltd,India,ZE-EL Trading private limited company,ATRI Atazanavir (ATV)+ Ritonavir (RTV) (300MG+100MG) Tablet of 30,PAC,"82,251",8.22,"676,103.22","676,103.22",USD,GF-HIV- GC7-0001-011,Sea,1/12/2026,1/13/2026,2/5/2026,2/6/2026,Awash Bank,AA00046434,1/31/2027,197,23,,,,Mulugeta,Opened,2/13/2026,5/13/2026,155,Efa,,,LC extension due to higher Batch size & Raw material Shortage,
969,1/5/2026,ICB/FW/EPSA6/MOH-GF/ARV/OI/PH/03/22,4500006877,Macleods Pharmaceutical Ltd,India,General chemical & trading pvt ltd,Lamuvudine (3TC) +Dolutugravir(DTG) +Tenofovir (TDF) (300MG+50MG+300MG)Tablet of 30,PAC,"72,000",3.58,"257,760.00","257,760.00",USD,GF-HIV- GC7-0001-011,Sea,1/9/2026,1/9/2026,1/13/2026,1/14/2026,Awash Bank,AA 00044934,10/31/2026,105,4,,,,Mulugeta,Opened,1/28/2026,4/27/2026,171,Efa,,,,
970,1/5/2026,ICB/FW/EPSA6/MOH-GF/ARV/OI/PH/03/22,4500006993,Unique Pharmaceutical Laboratories,India,EthioSpydra PLC,Sulphamethoxazole+ trimetoprime (200MMG+40MG)/5 ML SUSPENSION OF 100 ML,BT,"77,443",0.28,"21,684.04","21,684.04",USD,GF-HIV- GC7-0001-011,Sea,1/9/2026,1/9/2026,2/6/2026,2/9/2026,CBE,MD2602700429,3/10/2027,235,28,,,,Dejene,Opened,2/17/2026,4/17/2026,151,Efa,,,,
971,1/5/2026,ICB/FW/EPSA6/MOH-GF/ARV/OI/PH/03/22,4500006995,Macleods Pharmaceutical Ltd,India,General chemical & trading pvt ltd,Lamivudine (3TC) 150 mg tablet of 60,PAC,"55,726",1.69,"94,176.94","451,119.17",USD,GF-HIV- GC7-0001-011,Sea,1/9/2026,1/9/2026,1/13/2026,1/14/2026,Awash Bank,AA 00044911,10/31/2026,105,4,,,,Mulugeta,Opened,1/28/2026,4/27/2026,171,Efa,,,,
,,,,,,,Lamuvudine +tenofovir- (300mg+300mg) tablet of 30,PAC,"131,713",2.71,"356,942.23",,,,,,,,,,,,,,,,,,,,,,,,,,
973,1/5/2026,ICB/FW/EPSA6/MOH-GF/ARV/OI/PH/03/22,4500006992,Leben Laboratory,India,DAT  International PLC,Sulphamethoxazole+ trimetoprime (800mg+160mg)tablet of 10x100,PAC,"10,018",20,"200,360.00","232,886.20",USD,GF-HIV- GC7-0001-011,Sea,1/9/2026,1/9/2026,2/12/2026,2/13/2026,Bunna Internatinal Bank S.C,30733,2/6/2027,203,34,,,,Mulugeta,Opened,3/10/2026,5/7/2026,130,Efa,,,,
,,,,,,,Sulphamethoxazole+ trimetoprime (200MMG+40MG)/5 ML SUSPENSION OF 100 ML,BT,"116,165",0.28,"32,526.20",,,,,,,,,,,,,,,,,,,,,,,,,,
975,1/5/2026,ICB/FW/EPSA6/MOH-GF/ARV/OI/PH/03/22,4500006994,Macleods Pharmaceutical Ltd,India,General chemical & trading pvt ltd,Lamuvudine (3TC) +Dolutugravir(DTG) +Tenofovir (TDF) (300MG+50MG+300MG)Tablet of 30,PAC,"264,771",3.58,"947,880.18","947,880.18",USD,GF-HIV- GC7-0001-011,Sea,1/9/2026,1/9/2026,1/13/2026,1/14/2026,Awash Bank,AA00044450,10/31/2026,105,4,,,,Mulugeta,Opened,1/28/2026,4/27/2026,171,Efa,,,76 Packs yield loss,
976,1/9/2026,EPSA-NCB-G-0064-2018-BID,4500008813,Afrovision Pharmaceuticals,Ethiopia,Afrovision Pharmaceuticals,Hand Sanitizer of 1 L,BT,"7,000",369.7,"2,587,900.00","2,587,900.00",ETB,MOH-MVD-25-001-011,Truck,1/9/2026,Delivered for Marburg virus as emergency,,,,,,"-46,221",ENTER DATE,,,,,,,,"46,221",Hirkisa,,,the items deliverd befor PO recieved   from TMD So; no PG requred  ,
977,1/9/2026,ICB/FW/EPSA6/MOH-GF/ARV/PH/01/23,4500006955,Mylan Laboratories,India,ZE-EL Trading private limited company,Lamuvudine (3TC) +Dolutugravir(DTG) +Tenofovir (TDF) (300MG+50MG+300MG)Tablet of 90,PAC,"823,936",8.4,"6,921,062.40","6,921,062.40",USD,GF-HIV- GC7-0001-011,Sea,1/12/2026,1/13/2026,2/5/2026,2/6/2026,Awash Bank,AA00046435,1/31/2027,197,23,,,,Mulugeta,Opened,2/13/2026,4/13/2026,155,Efa,,,,
978,1/10/2026,EPSA-ICB-G-0076-2017-BID,4500004715,Rochy Kenya Ltd,Kenya,Retina Pharmaceutical PLC,COBAS 4800 And 6800/8800,PAC,,,"1,119,202.85","1,119,202.85",USD,GF-LAB-23-001-011,Air,1/12/2026,1/13/2026,2/10/2026,2/11/2026,CBE,MD2603313813,1/6/2027,172,28,,,,Mulugeta,Opened,3/23/2026,6/20/2026,117,Amanuel,,,LC hold by DG (25/2/2026) on liquidation update,
979,1/10/2026,EPSA-ICB-G-0076-2017-BID,4500004717,Rochy Kenya Ltd,Kenya,Retina Pharmaceutical PLC,COBAS 4800 And 6800/8800,PAC,,,"170,962.86","170,962.86",USD,GF-LAB-23-001-011,Air,1/12/2026,1/13/2026,2/11/2026,2/11/2026,CBE,MD2602681061,1/8/2027,174,29,,,,Mulugeta,Opened,4/2/2026,6/30/2026,107,Amanuel,,,LC hold by DG (25/2/2026) on liquidation update,
980,1/10/2026,EPSA-ICB-G-0076-2017-BID,4500004716,Rochy Kenya Ltd,Kenya,Retina Pharmaceutical PLC,COBAS 4800 And 6800/8800,PAC,,,"151,248.70","151,248.70",USD,GF-LAB-23-001-011,Air,1/12/2026,1/13/2026,2/12/2026,2/12/2026,CBE,MD2603309607,1/29/2027,195,30,,,,Mulugeta,Opened,3/23/2026,6/20/2026,117,Amanuel,,,LC hold by DG (25/2/2026) on liquidation update,
